Agency,ErrorStrike,SemiMajor90,SemiMinor90,cluster_flag,cluster_index,comment,day,depth,depthError,eventID,flag,hour,latitude,longitude,magnitude,magnitudeType,minute,month,second,sigmaMagnitude,timeError,year
GSHAP_TR,,,,0,0,,1,999.0,,45547,,1,37.200000000000003,30.0,6.2999999999999998,MW,1,1,1.0,0.0,,23
SBEI,,,,0,0,,1,15.0,,70706,,1,36.0,36.299999999999997,6.2000000000000002,MS,1,1,1.0,0.20000000000000001,,37
SBEI,,,,0,0,,1,30.0,,70707,,1,36.200000000000003,36.5,6.5999999999999996,MS,1,1,1.0,0.20000000000000001,,53
GSHAP_TR,,,,0,0,,1,999.0,,44743,,1,36.200000000000003,36.0,6.7000000000000002,MW,1,1,1.0,0.0,,110
SBEI,,,,0,0,,1,20.0,,70708,,1,33.799999999999997,34.299999999999997,7.0999999999999996,MS,1,1,1.0,0.20000000000000001,,303
AA14,,,,0,0,,19,999.0,,0,,1,31.5,35.200000000000003,6.7999999999999998,MS,1,5,1.0,0.20000000000000001,,363
SBEI,,,,0,0,,1,25.0,,70709,,1,35.799999999999997,36.299999999999997,6.5,MS,1,1,1.0,0.20000000000000001,,494
SBEI,,,,0,0,,22,30.0,,70710,,1,33.0,34.799999999999997,7.2000000000000002,MS,1,8,1.0,0.20000000000000001,,502
GSHAP_TR,,,,0,0,,1,999.0,,45595,,1,36.200000000000003,30.0,6.5,MW,1,1,1.0,0.0,,530
SBEI,,,,0,0,,1,15.0,,70711,,1,35.5,37.200000000000003,6.5,MS,1,1,1.0,0.20000000000000001,,531
AM06,,,,0,0,,9,28.0,,44,,1,33.899999999999999,35.5,7.2000000000000002,MS,1,7,1.0,0.20000000000000001,,551
GSHAP_TR,,,,0,0,,1,999.0,,44759,,1,37.200000000000003,35.899999999999999,6.7000000000000002,MW,1,1,1.0,0.0,,561
SBEI,,,,0,0,,1,30.0,,70713,,1,36.0,36.200000000000003,6.0999999999999996,MS,1,1,1.0,0.17000000000000001,,565
AA14,,,,0,0,,1,999.0,,1,,1,32.299999999999997,35.5,6.0,MW,1,9,1.0,0.0,,634
AA14,,,,0,0,,1,999.0,,2,,1,32.299999999999997,35.5,6.0,MW,1,6,1.0,0.0,,659
AM06,,,,0,7,,18,999.0,,45,,1,32.799999999999997,35.799999999999997,7.0,MS,1,1,1.0,0.20000000000000001,,746
MA03,,,,0,0,,18,999.0,,3,,1,32.5,35.5,7.2999999999999998,MS,1,1,1.0,0.20000000000000001,,749
SBEI,,,,0,0,,24,35.0,,70715,,1,34.399999999999999,36.299999999999997,7.5,MS,1,11,1.0,0.20000000000000001,,847
SBEI,,,,0,2,,30,33.0,,70716,,1,35.700000000000003,36.399999999999999,7.4000000000000004,MS,1,12,1.0,0.20000000000000001,,859
SBEI,,,,0,0,,5,22.0,,70717,,1,33.700000000000003,36.399999999999999,7.0999999999999996,MS,1,4,1.0,0.20000000000000001,,991
EMEC,,,,0,0,,10,18.0,,2648,,1,36.5,36.5,6.9000000000000004,MW,1,11,1.0,0.0,,1002
SHARE,,,,0,0,,21,999.0,,70742,,0,37.100000000000001,38.799999999999997,6.2000000000000002,MW,0,3,0.0,0.0,,1003
EMEC,,,,0,0,,1,999.0,,2653,,1,32.200000000000003,35.5,5.5,MW,1,1,1.0,0.0,,1016
EMEC,,,,0,0,,5,999.0,,2656,,1,32.5,35.5,6.5,MW,1,12,1.0,0.0,,1033
SHARE,,,,0,0,,18,999.0,,70758,,4,37.100000000000001,38.799999999999997,5.7999999999999998,MW,0,12,0.0,0.0,,1037
EMEC,,,,0,0,,1,999.0,,2666,,1,31.0,35.5,6.5,MW,1,1,1.0,0.0,,1047
EMEC,,,,0,0,,1,999.0,,2670,,1,32.200000000000003,35.5,6.0999999999999996,MW,1,1,1.0,0.0,,1060
SBEI,,,,0,11,,30,32.0,,70718,,1,34.399999999999999,36.200000000000003,6.9000000000000004,MS,1,7,1.0,0.20000000000000001,,1063
EMEC,,,,0,0,,1,999.0,,2675,,1,30.100000000000001,35.299999999999997,6.9000000000000004,MW,1,1,1.0,0.0,,1068
EMEC,,,,0,0,,29,999.0,,2676,,1,32.600000000000001,35.299999999999997,7.0,MW,1,5,1.0,0.0,,1068
EMEC,,,,0,17,,17,999.0,,2683,,1,36.100000000000001,36.100000000000001,6.5,MW,1,9,1.0,0.0,,1091
EMEC,,,,0,0,,1,999.0,,2685,,1,33.299999999999997,36.200000000000003,5.2000000000000002,MW,1,6,1.0,0.0,,1094
EMEC,,,,0,0,,30,999.0,,2687,,1,36.200000000000003,36.100000000000001,5.7999999999999998,MW,1,12,1.0,0.0,,1097
EMEC,,,,0,0,,24,999.0,,2690,,1,31.800000000000001,35.200000000000003,5.2999999999999998,MW,1,12,1.0,0.0,,1105
EMEC,,,,0,0,,31,999.0,,2693,,6,30.0,31.199999999999999,5.7999999999999998,MW,30,8,1.0,0.0,,1111
EMEC,,,,0,0,,10,999.0,,2694,,1,37.100000000000001,36.0,6.7000000000000002,MW,1,8,1.0,0.0,,1114
